 format: day,hour,forecast,value  location:71_132 Start : 20150101 
 1,0200,+4,25.000000 
 1,0200,+7,30.000000 
 1,0200,+10,45.000000 
 1,0200,+13,55.000000 
 1,0200,+16,65.000000 
 1,0200,+19,70.000000 
 1,0200,+22,65.000000 
 1,0200,+25,50.000000 
 1,0200,+28,25.000000 
 1,0200,+31,30.000000 
 1,0200,+34,45.000000 
 1,0200,+37,65.000000 
 1,0200,+40,75.000000 
 1,0200,+43,80.000000 
 1,0200,+46,70.000000 
 1,0200,+49,50.000000 
 1,0200,+52,50.000000 
 1,0200,+55,55.000000 
 1,0200,+58,65.000000 
 1,0200,+61,80.000000 
 1,0500,+4,30.000000 
 1,0500,+7,45.000000 
 1,0500,+10,55.000000 
 1,0500,+13,65.000000 
 1,0500,+16,70.000000 
 1,0500,+19,65.000000 
 1,0500,+22,50.000000 
 1,0500,+25,25.000000 
 1,0500,+28,30.000000 
 1,0500,+31,45.000000 
 1,0500,+34,65.000000 
 1,0500,+37,75.000000 
 1,0500,+40,80.000000 
 1,0500,+43,70.000000 
 1,0500,+46,50.000000 
 1,0500,+49,50.000000 
 1,0500,+52,55.000000 
 1,0500,+55,65.000000 
 1,0500,+58,80.000000 
 1,0800,+4,50.000000 
 1,0800,+7,60.000000 
 1,0800,+10,60.000000 
 1,0800,+13,70.000000 
 1,0800,+16,70.000000 
 1,0800,+19,30.000000 
 1,0800,+22,30.000000 
 1,0800,+25,30.000000 
 1,0800,+28,50.000000 
 1,0800,+31,75.000000 
 1,0800,+34,85.000000 
 1,0800,+37,85.000000 
 1,0800,+40,75.000000 
 1,0800,+43,50.000000 
 1,0800,+46,50.000000 
 1,0800,+49,55.000000 
 1,0800,+52,75.000000 
 1,0800,+55,80.000000 
 1,1100,+4,60.000000 
 1,1100,+7,60.000000 
 1,1100,+10,70.000000 
 1,1100,+13,70.000000 
 1,1100,+16,30.000000 
 1,1100,+19,30.000000 
 1,1100,+22,30.000000 
 1,1100,+25,50.000000 
 1,1100,+28,75.000000 
 1,1100,+31,85.000000 
 1,1100,+34,85.000000 
 1,1100,+37,75.000000 
 1,1100,+40,50.000000 
 1,1100,+43,50.000000 
 1,1100,+46,55.000000 
 1,1100,+49,75.000000 
 1,1100,+52,80.000000 
 1,1400,+4,65.000000 
 1,1400,+7,70.000000 
 1,1400,+10,65.000000 
 1,1400,+13,30.000000 
 1,1400,+16,30.000000 
 1,1400,+19,30.000000 
 1,1400,+22,50.000000 
 1,1400,+25,75.000000 
 1,1400,+28,85.000000 
 1,1400,+31,85.000000 
 1,1400,+34,75.000000 
 1,1400,+37,50.000000 
 1,1400,+40,50.000000 
 1,1400,+43,55.000000 
 1,1400,+46,75.000000 
 1,1400,+49,80.000000 
 1,1700,+4,70.000000 
 1,1700,+7,65.000000 
 1,1700,+10,30.000000 
 1,1700,+13,30.000000 
 1,1700,+16,30.000000 
 1,1700,+19,50.000000 
 1,1700,+22,75.000000 
 1,1700,+25,85.000000 
 1,1700,+28,85.000000 
 1,1700,+31,75.000000 
 1,1700,+34,50.000000 
 1,1700,+37,50.000000 
 1,1700,+40,55.000000 
 1,1700,+43,75.000000 
 1,1700,+46,80.000000 
 1,2000,+4,65.000000 
 1,2000,+7,30.000000 
 1,2000,+10,20.000000 
 1,2000,+13,25.000000 
 1,2000,+16,50.000000 
 1,2000,+19,70.000000 
 1,2000,+22,85.000000 
 1,2000,+25,85.000000 
 1,2000,+28,75.000000 
 1,2000,+31,50.000000 
 1,2000,+34,45.000000 
 1,2000,+37,50.000000 
 1,2000,+40,75.000000 
 1,2000,+43,85.000000 
 1,2000,+46,90.000000 
 1,2000,+49,90.000000 
 1,2000,+52,85.000000 
 1,2000,+55,65.000000 
 1,2000,+58,50.000000 
 1,2000,+61,60.000000 
 1,2000,+64,85.000000 
 1,2000,+67,90.000000 
 1,2300,+4,30.000000 
 1,2300,+7,20.000000 
 1,2300,+10,25.000000 
 1,2300,+13,50.000000 
 1,2300,+16,70.000000 
 1,2300,+19,85.000000 
 1,2300,+22,85.000000 
 1,2300,+25,75.000000 
 1,2300,+28,50.000000 
 1,2300,+31,45.000000 
 1,2300,+34,50.000000 
 1,2300,+37,75.000000 
 1,2300,+40,85.000000 
 1,2300,+43,90.000000 
 1,2300,+46,90.000000 
 1,2300,+49,85.000000 
 1,2300,+52,65.000000 
 1,2300,+55,50.000000 
 1,2300,+58,60.000000 
 1,2300,+61,85.000000 
 1,2300,+64,90.000000 
 2,0200,+4,20.000000 
 2,0200,+7,25.000000 
 2,0200,+10,50.000000 
 2,0200,+13,70.000000 
 2,0200,+16,85.000000 
 2,0200,+19,85.000000 
 2,0200,+22,75.000000 
 2,0200,+25,50.000000 
 2,0200,+28,45.000000 
 2,0200,+31,50.000000 
 2,0200,+34,75.000000 
 2,0200,+37,85.000000 
 2,0200,+40,90.000000 
 2,0200,+43,90.000000 
 2,0200,+46,85.000000 
 2,0200,+49,65.000000 
 2,0200,+52,50.000000 
 2,0200,+55,60.000000 
 2,0200,+58,85.000000 
 2,0200,+61,90.000000 
 2,0500,+4,25.000000 
 2,0500,+7,50.000000 
 2,0500,+10,70.000000 
 2,0500,+13,85.000000 
 2,0500,+16,85.000000 
