 format: day,hour,forecast,value  location:73_134 Start : 20160101 
 1,0200,+4,4.000000 
 1,0200,+7,4.000000 
 1,0200,+10,4.000000 
 1,0200,+13,3.000000 
 1,0200,+16,1.000000 
 1,0200,+19,1.000000 
 1,0200,+22,1.000000 
 1,0200,+25,1.000000 
 1,0200,+28,1.000000 
 1,0200,+31,1.000000 
 1,0200,+34,1.000000 
 1,0200,+37,1.000000 
 1,0200,+40,1.000000 
 1,0200,+43,1.000000 
 1,0200,+46,1.000000 
 1,0200,+49,1.000000 
 1,0200,+52,2.000000 
 1,0200,+55,1.000000 
 1,0200,+58,1.000000 
 1,0200,+61,1.000000 
 1,0500,+4,4.000000 
 1,0500,+7,4.000000 
 1,0500,+10,3.000000 
 1,0500,+13,1.000000 
 1,0500,+16,1.000000 
 1,0500,+19,1.000000 
 1,0500,+22,1.000000 
 1,0500,+25,1.000000 
 1,0500,+28,1.000000 
 1,0500,+31,1.000000 
 1,0500,+34,1.000000 
 1,0500,+37,1.000000 
 1,0500,+40,1.000000 
 1,0500,+43,1.000000 
 1,0500,+46,1.000000 
 1,0500,+49,2.000000 
 1,0500,+52,1.000000 
 1,0500,+55,1.000000 
 1,0500,+58,1.000000 
 1,0800,+4,4.000000 
 1,0800,+7,1.000000 
 1,0800,+10,1.000000 
 1,0800,+13,1.000000 
 1,0800,+16,1.000000 
 1,0800,+19,1.000000 
 1,0800,+22,1.000000 
 1,0800,+25,1.000000 
 1,0800,+28,1.000000 
 1,0800,+31,1.000000 
 1,0800,+34,1.000000 
 1,0800,+37,1.000000 
 1,0800,+40,1.000000 
 1,0800,+43,1.000000 
 1,0800,+46,1.000000 
 1,0800,+49,2.000000 
 1,0800,+52,1.000000 
 1,0800,+55,1.000000 
 1,1100,+4,1.000000 
 1,1100,+7,1.000000 
 1,1100,+10,1.000000 
 1,1100,+13,1.000000 
 1,1100,+16,1.000000 
 1,1100,+19,1.000000 
 1,1100,+22,1.000000 
 1,1100,+25,1.000000 
 1,1100,+28,1.000000 
 1,1100,+31,1.000000 
 1,1100,+34,1.000000 
 1,1100,+37,1.000000 
 1,1100,+40,1.000000 
 1,1100,+43,1.000000 
 1,1100,+46,2.000000 
 1,1100,+49,1.000000 
 1,1100,+52,1.000000 
 1,1400,+4,1.000000 
 1,1400,+7,1.000000 
 1,1400,+10,1.000000 
 1,1400,+13,1.000000 
 1,1400,+16,1.000000 
 1,1400,+19,1.000000 
 1,1400,+22,1.000000 
 1,1400,+25,1.000000 
 1,1400,+28,1.000000 
 1,1400,+31,1.000000 
 1,1400,+34,1.000000 
 1,1400,+37,1.000000 
 1,1400,+40,1.000000 
 1,1400,+43,2.000000 
 1,1400,+46,1.000000 
 1,1400,+49,1.000000 
 1,1700,+4,1.000000 
 1,1700,+7,1.000000 
 1,1700,+10,1.000000 
 1,1700,+13,1.000000 
 1,1700,+16,1.000000 
 1,1700,+19,1.000000 
 1,1700,+22,1.000000 
 1,1700,+25,1.000000 
 1,1700,+28,1.000000 
 1,1700,+31,1.000000 
 1,1700,+34,1.000000 
 1,1700,+37,1.000000 
 1,1700,+40,2.000000 
 1,1700,+43,1.000000 
 1,1700,+46,1.000000 
 1,2000,+4,1.000000 
 1,2000,+7,1.000000 
 1,2000,+10,1.000000 
 1,2000,+13,1.000000 
 1,2000,+16,1.000000 
 1,2000,+19,1.000000 
 1,2000,+22,1.000000 
 1,2000,+25,1.000000 
 1,2000,+28,1.000000 
 1,2000,+31,1.000000 
 1,2000,+34,1.000000 
 1,2000,+37,1.000000 
 1,2000,+40,1.000000 
 1,2000,+43,1.000000 
 1,2000,+46,1.000000 
 1,2000,+49,1.000000 
 1,2000,+52,1.000000 
 1,2000,+55,1.000000 
