 format: day,hour,forecast,value  location:75_136 Start : 20090301 
 Start : 20090501 
 1,0200,+4,3.000000 
 1,0200,+7,3.000000 
 1,0200,+10,2.000000 
 1,0200,+13,1.000000 
 1,0200,+16,1.000000 
 1,0200,+19,1.000000 
 1,0200,+22,2.000000 
 1,0200,+25,3.000000 
 1,0200,+28,3.000000 
 1,0200,+31,3.000000 
 1,0200,+34,3.000000 
 1,0200,+37,2.000000 
 1,0200,+40,1.000000 
 1,0200,+43,1.000000 
 1,0200,+46,2.000000 
 1,0200,+49,2.000000 
 1,0500,+4,3.000000 
 1,0500,+7,2.000000 
 1,0500,+10,1.000000 
 1,0500,+13,1.000000 
 1,0500,+16,1.000000 
 1,0500,+19,2.000000 
 1,0500,+22,3.000000 
 1,0500,+25,3.000000 
 1,0500,+28,3.000000 
 1,0500,+31,3.000000 
 1,0500,+34,2.000000 
 1,0500,+37,1.000000 
 1,0500,+40,1.000000 
 1,0500,+43,2.000000 
 1,0500,+46,2.000000 
 1,0800,+4,0.800000 
 1,0800,+7,1.800000 
 1,0800,+10,1.600000 
 1,0800,+13,1.300000 
 1,0800,+16,2.400000 
 1,0800,+19,0.700000 
 1,0800,+22,0.600000 
 1,0800,+25,0.600000 
 1,0800,+28,1.800000 
 1,0800,+31,1.500000 
 1,0800,+34,1.100000 
 1,0800,+37,1.000000 
 1,0800,+40,0.700000 
 1,0800,+43,0.300000 
 1,0800,+46,0.800000 
 1,0800,+49,0.800000 
 1,0800,+52,0.600000 
 1,0800,+55,0.800000 
 1,1100,+4,1.800000 
 1,1100,+7,1.600000 
 1,1100,+10,1.300000 
 1,1100,+13,2.400000 
 1,1100,+16,0.700000 
 1,1100,+19,0.600000 
 1,1100,+22,0.600000 
 1,1100,+25,1.800000 
 1,1100,+28,1.500000 
 1,1100,+31,1.100000 
 1,1100,+34,1.000000 
 1,1100,+37,0.700000 
 1,1100,+40,0.300000 
 1,1100,+43,0.800000 
 1,1100,+46,0.800000 
 1,1100,+49,0.600000 
 1,1100,+52,0.800000 
 1,1400,+4,2.000000 
 1,1400,+7,1.000000 
 1,1400,+10,2.000000 
 1,1400,+13,1.000000 
 1,1400,+16,1.000000 
 1,1400,+19,1.000000 
 1,1400,+22,2.000000 
 1,1400,+25,2.000000 
 1,1400,+28,1.000000 
